,index,dhlabid,urn,title,authors,nettbiblioteket,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype,ocr_creator,ocr_timestamp
23,28,300035920,URN:NBN:no-nb_digitidsskrift_2019012281054_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1914 Vol . 28,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281054_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281054_001,aa85f249a44eba13248a3249cff951fb,,Christiania,19140101,1914,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
24,27,300034154,URN:NBN:no-nb_digitidsskrift_2019012281056_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1920 Vol . 34,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281056_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281056_001,530784b4c2a9f3c1cde1f6644eab24db,,Christiania,19200101,1920,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
25,79,300033062,URN:NBN:no-nb_digitidsskrift_2019012281058_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1924 Vol . 38,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281058_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281058_001,e077fdcff67f6933a5eb011febcbf02d,,Christiania,19240101,1924,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
26,8,300033063,URN:NBN:no-nb_digitidsskrift_2019012281060_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1923 Vol . 37,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281060_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281060_001,78aa958880ea40084d1c6e76b7b6dc18,,Christiania,19230101,1923,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
27,2,300033064,URN:NBN:no-nb_digitidsskrift_2019012281062_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1925 Vol . 39,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281062_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281062_001,091d4d104de5a090e2d1d4c9edafe38c,,Christiania,19250101,1925,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
28,38,300034155,URN:NBN:no-nb_digitidsskrift_2019012281064_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1926 Vol . 40,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281064_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281064_001,2052444a29cf5ffc64bd4340bd798917,,Christiania,19260101,1926,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
29,26,300033065,URN:NBN:no-nb_digitidsskrift_2019012281066_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1900 Vol . 14,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281066_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281066_001,bea2e09d626d3a60b4eb777b0baaa689,,Christiania,19000101,1900,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
30,68,300033066,URN:NBN:no-nb_digitidsskrift_2019012281068_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1906 Vol . 20,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281068_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281068_001,14b5afc1c4806bbb4085dbc664a67274,,Christiania,19060101,1906,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
31,63,300033067,URN:NBN:no-nb_digitidsskrift_2019012281070_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1888 Vol . 2,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281070_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281070_001,be0d345532c82012b6bc918f14772f2a,,Christiania,18880101,1888,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
32,22,300033068,URN:NBN:no-nb_digitidsskrift_2019012281072_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1907 Vol . 21,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281072_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281072_001,5e4d636e1c6c9ad2ba574b3d8d0d349c,,Christiania,19070101,1907,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
33,60,300033069,URN:NBN:no-nb_digitidsskrift_2019012281074_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1908 Vol . 22,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281074_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281074_001,209556dc2ffa03f47c5125cc900acb64,,Christiania,19080101,1908,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
34,25,300033070,URN:NBN:no-nb_digitidsskrift_2019012281076_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1909 Vol . 23,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281076_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281076_001,8e469308c01bdc5c92a0c1a2e7288a60,,Christiania,19090101,1909,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
35,18,300044370,URN:NBN:no-nb_digitidsskrift_2019012281078_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1910 Vol . 24,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281078_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281078_001,b26043cebd6fec63d48a0ea2c4e1276e,,Christiania,19100101,1910,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
36,64,300033071,URN:NBN:no-nb_digitidsskrift_2019012281080_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1898 Vol . 12,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281080_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281080_001,75295e256a065e86dd591810002f02e8,,Christiania,18980101,1898,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
37,9,300033072,URN:NBN:no-nb_digitidsskrift_2019012281082_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1899 Vol . 13,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019012281082_001,oai:urn.nb.no:no-nb_digitidsskrift_2019012281082_001,6a67266d1707b23bc2761dafd98f5192,,Christiania,18990101,1899,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
38,71,300036800,URN:NBN:no-nb_digitidsskrift_2019031381013_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1889 Vol . 3,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019031381013_001,oai:urn.nb.no:no-nb_digitidsskrift_2019031381013_001,18773bda04c79464278085d3ba5625a6,,Christiania,18890101,1889,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
39,19,300036801,URN:NBN:no-nb_digitidsskrift_2019031381014_001,Nylænde ( trykt utg. ) : tidsskrift udgivet af Norsk kvindesagsforening . 1890 Vol . 4,,https://www.nb.no/items/URN:NBN:no-nb_digitidsskrift_2019031381014_001,oai:urn.nb.no:no-nb_digitidsskrift_2019031381014_001,f000e8dbd3751df94fee95e154494d3f,,Christiania,18900101,1890,Foreningen,und,Feminisme / Historie / Tidsskrifter / kvinnesak / norge,,periodical,Uklassifisert,digitidsskrift,nb,20060101
